id,tier,tierLabel,name,prototype,excluded,status,size,filePath,imageUrl,note
93,5,Ⅴ阶,玛恩纳,领主·Sharp,false,ok,32956,D:\大黄算法？？？\卫戍协议干员头像包\05_V阶\093_Ⅴ阶_玛恩纳.png,https://media.prts.wiki/0/08/%E5%A4%B4%E5%83%8F_%E7%8E%9B%E6%81%A9%E7%BA%B3.png?v=pjr3qx73w7wobb2l3oa8zp3ra90uk5i,
94,5,Ⅴ阶,安洁莉娜,Raidian(卫戍协议),false,ok,41972,D:\大黄算法？？？\卫戍协议干员头像包\05_V阶\094_Ⅴ阶_安洁莉娜.png,https://media.prts.wiki/c/ca/%E5%A4%B4%E5%83%8F_%E5%AE%89%E6%B4%81%E8%8E%89%E5%A8%9C.png?v=5g5aketczigelzqmzvu78lttrtcripr,
95,5,Ⅴ阶,寒檀,,false,ok,38138,D:\大黄算法？？？\卫戍协议干员头像包\05_V阶\095_Ⅴ阶_寒檀.png,https://media.prts.wiki/c/cd/%E5%A4%B4%E5%83%8F_%E5%AF%92%E6%AA%80.png?v=0exc5aep94hpws2y0xn4rsuaylvssy7,
96,5,Ⅴ阶,录武官,,false,ok,52603,D:\大黄算法？？？\卫戍协议干员头像包\05_V阶\096_Ⅴ阶_录武官.png,https://media.prts.wiki/0/09/%E5%A4%B4%E5%83%8F_%E5%BD%95%E6%AD%A6%E5%AE%98.png?v=gap0na4wnmmv5u8sfc5u9rhwybblb3h,
97,6,Ⅵ阶,蕾缪安,Stormeye(卫戍协议),false,ok,47845,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\097_Ⅵ阶_蕾缪安.png,https://media.prts.wiki/c/c5/%E5%A4%B4%E5%83%8F_%E8%95%BE%E7%BC%AA%E5%AE%89.png?v=bm2uy3u8c0tssavni9ricncru215gpd,
98,6,Ⅵ阶,圣聆初雪,郁金香(卫戍协议),false,ok,72938,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\098_Ⅵ阶_圣聆初雪.png,https://media.prts.wiki/a/ab/%E5%A4%B4%E5%83%8F_%E5%9C%A3%E8%81%86%E5%88%9D%E9%9B%AA.png?v=1yl1qxjdizjf8tlwppplu3v92mlrkcd,
99,6,Ⅵ阶,余,Mechanist(卫戍协议),false,ok,61033,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\099_Ⅵ阶_余.png,https://media.prts.wiki/6/66/%E5%A4%B4%E5%83%8F_%E4%BD%99.png?v=jhixa5atfjbt5g4qkkzo0f9a79ivhbd,
100,6,Ⅵ阶,浊心斯卡蒂,Raidian(卫戍协议),false,ok,40419,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\100_Ⅵ阶_浊心斯卡蒂.png,https://media.prts.wiki/8/80/%E5%A4%B4%E5%83%8F_%E6%B5%8A%E5%BF%83%E6%96%AF%E5%8D%A1%E8%92%82.png?v=tmnfcpnal7owf762hb3u3wkardwdiru,
101,6,Ⅵ阶,异客,Stormeye(卫戍协议),false,ok,36564,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\101_Ⅵ阶_异客.png,https://media.prts.wiki/d/d2/%E5%A4%B4%E5%83%8F_%E5%BC%82%E5%AE%A2.png?v=rlxzw7cekf6a0hc3cqwbqitnhwg37z4,
102,6,Ⅵ阶,佩佩,Sharp(卫戍协议),false,ok,65561,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\102_Ⅵ阶_佩佩.png,https://media.prts.wiki/8/85/%E5%A4%B4%E5%83%8F_%E4%BD%A9%E4%BD%A9.png?v=mwhtjm0zoeqjczr9tuejl4g9fdgmmln,
103,6,Ⅵ阶,维娜·维多利亚,领主·Sharp,false,ok,67328,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\103_Ⅵ阶_维娜·维多利亚.png,https://media.prts.wiki/6/68/%E5%A4%B4%E5%83%8F_%E7%BB%B4%E5%A8%9C%C2%B7%E7%BB%B4%E5%A4%9A%E5%88%A9%E4%BA%9A.png?v=rjb6xpl27wi2fcdbjld0mh3xitztodx,
104,6,Ⅵ阶,焰影苇草,Pith(卫戍协议),false,ok,38485,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\104_Ⅵ阶_焰影苇草.png,https://media.prts.wiki/9/94/%E5%A4%B4%E5%83%8F_%E7%84%B0%E5%BD%B1%E8%8B%87%E8%8D%89.png?v=12dgr15oe09yxkd6uqumj5mclc7lg7f,
