card,role,title,file,sourceUrl,width,height
"战术指令：前线","正式推荐","文件:协同战术：突击.png","D:\大黄算法？？？\基础打防卡图\战术指令：前线.png","https://media.prts.wiki/8/86/%E5%8D%8F%E5%90%8C%E6%88%98%E6%9C%AF%EF%BC%9A%E7%AA%81%E5%87%BB.png","82","78"
"战术指令：后方","正式推荐","文件:协同战术：备战.png","D:\大黄算法？？？\基础打防卡图\战术指令：后方.png","https://media.prts.wiki/e/e0/%E5%8D%8F%E5%90%8C%E6%88%98%E6%9C%AF%EF%BC%9A%E5%A4%87%E6%88%98.png","82","77"
"战术指令：前线","备选图标","文件:技能 攻击力强化·γ型.png","D:\大黄算法？？？\基础打防卡图\战术指令：前线_备选图标_技能攻击力强化·γ型.png","https://media.prts.wiki/4/4f/%E6%8A%80%E8%83%BD_%E6%94%BB%E5%87%BB%E5%8A%9B%E5%BC%BA%E5%8C%96%C2%B7%CE%B3%E5%9E%8B.png","128","128"
"战术指令：后方","备选图标","文件:技能 防御力强化·γ型.png","D:\大黄算法？？？\基础打防卡图\战术指令：后方_备选图标_技能防御力强化·γ型.png","https://media.prts.wiki/8/87/%E6%8A%80%E8%83%BD_%E9%98%B2%E5%BE%A1%E5%8A%9B%E5%BC%BA%E5%8C%96%C2%B7%CE%B3%E5%9E%8B.png","128","128"
"战术指令：前线","备选战术","文件:协同战术：军械.png","D:\大黄算法？？？\基础打防卡图\战术指令：前线_备选战术_协同战术：军械.png","https://media.prts.wiki/a/a1/%E5%8D%8F%E5%90%8C%E6%88%98%E6%9C%AF%EF%BC%9A%E5%86%9B%E6%A2%B0.png","82","78"
"战术指令：后方","备选战术","文件:协同战术：重部署.png","D:\大黄算法？？？\基础打防卡图\战术指令：后方_备选战术_协同战术：重部署.png","https://media.prts.wiki/c/c3/%E5%8D%8F%E5%90%8C%E6%88%98%E6%9C%AF%EF%BC%9A%E9%87%8D%E9%83%A8%E7%BD%B2.png","82","78"
